poisoning_rate	frequency	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop
0.01	1000	2.037037037037037	97.5	-0.6666666666666714
0.01	10000	0.0	98.66666666666667	-1.8333333333333428
0.01	24000	2.037037037037037	99.66666666666667	-2.833333333333343
0.05	1000	97.77777777777777	98.83333333333333	-2.0
0.05	10000	99.07407407407408	98.16666666666667	-1.3333333333333428
0.05	24000	96.85185185185185	97.83333333333333	-1.0
0.1	1000	99.62962962962963	97.5	-0.6666666666666714
0.1	10000	100.0	98.66666666666667	-1.8333333333333428
0.1	24000	100.0	98.83333333333333	-2.0
