poisoning_rate	frequency	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop
0.01	1000	0.0	98.83333333333333	-2.0
0.01	10000	0.7407407407407407	98.66666666666667	-1.8333333333333428
0.01	24000	0.0	98.83333333333333	-2.0
0.05	1000	2.7777777777777777	98.16666666666667	-1.3333333333333428
0.05	10000	49.25925925925926	96.33333333333333	0.5
0.05	24000	64.44444444444444	99.16666666666667	-2.333333333333343
0.1	1000	26.11111111111111	96.5	0.3333333333333286
0.1	10000	97.96296296296296	97.83333333333333	-1.0
0.1	24000	98.51851851851852	99.33333333333333	-2.5
