poisoning_rate	stretch_factor	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop
0.01	0.7	8.703703703703704	99.0	-2.1666666666666714
0.01	1.3	0.18518518518518517	99.0	-2.1666666666666714
0.01	1.6	0.0	97.5	-0.6666666666666714
0.05	0.7	52.77777777777778	97.83333333333333	-1.0
0.05	1.3	4.2592592592592595	98.66666666666667	-1.8333333333333428
0.05	1.6	44.629629629629626	98.16666666666667	-1.3333333333333428
0.1	0.7	83.88888888888889	97.16666666666667	-0.3333333333333428
0.1	1.3	48.148148148148145	91.5	5.333333333333329
0.1	1.6	43.7037037037037	98.66666666666667	-1.8333333333333428
