poisoning_rate	stretch_factor	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop
0.01	0.7	21.11111111111111	76.16666666666667	7.0
0.01	1.3	3.5185185185185186	77.83333333333333	5.333333333333343
0.01	1.6	3.7037037037037037	82.33333333333333	0.8333333333333428
0.05	0.7	25.555555555555557	76.83333333333333	6.333333333333343
0.05	1.3	13.88888888888889	78.5	4.666666666666671
0.05	1.6	7.222222222222222	78.66666666666667	4.5
0.1	0.7	38.333333333333336	74.5	8.666666666666671
0.1	1.3	21.296296296296298	78.83333333333333	4.333333333333343
0.1	1.6	39.44444444444444	69.66666666666667	13.5
