poisoning_rate	frequency	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop
0.01	1000	0.0	98.83333333333333	0.1666666666666714
0.01	10000	2.5925925925925926	97.16666666666667	1.8333333333333286
0.01	24000	0.0	98.33333333333333	0.6666666666666714
0.05	1000	28.888888888888886	99.16666666666667	-0.1666666666666714
0.05	10000	82.77777777777777	98.16666666666667	0.8333333333333286
0.05	24000	85.92592592592592	97.5	1.5
0.1	1000	86.48148148148148	95.83333333333334	3.166666666666657
0.1	10000	95.55555555555556	94.0	5.0
0.1	24000	97.77777777777777	94.0	5.0
