poisoning_rate	frequency	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop
0.01	1000	5.37037037037037	97.5	-0.6666666666666714
0.01	10000	1.4814814814814814	98.66666666666667	-1.8333333333333428
0.01	24000	59.074074074074076	99.33333333333333	-2.5
0.05	1000	95.37037037037037	99.0	-2.1666666666666714
0.05	10000	83.14814814814815	99.16666666666667	-2.333333333333343
0.05	24000	100.0	98.33333333333333	-1.5
0.1	1000	98.51851851851852	98.66666666666667	-1.8333333333333428
0.1	10000	98.70370370370371	97.66666666666667	-0.8333333333333428
0.1	24000	100.0	98.5	-1.6666666666666714
