poisoning_rate	frequency	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop
0.01	1000	0.1851851851851852	98.16666666666667	0.8333333333333286
0.01	10000	0.0	97.33333333333334	1.6666666666666572
0.01	24000	0.0	98.5	0.5
0.05	1000	23.88888888888889	98.33333333333333	0.6666666666666714
0.05	10000	90.92592592592592	97.83333333333334	1.1666666666666572
0.05	24000	94.44444444444444	98.5	0.5
0.1	1000	91.2962962962963	96.83333333333334	2.166666666666657
0.1	10000	99.44444444444444	93.33333333333333	5.666666666666671
0.1	24000	98.70370370370371	89.33333333333333	9.666666666666671
