poisoning_rate	decay	delay	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop
0.01	0.3	75	9.833333333333334	96.16666666666669	0.5
0.01	0.3	150	10.0	97.16666666666669	-0.5
0.01	0.6	75	10.0	95.5	1.1666666666666714
0.01	0.6	150	0.0	10.0	86.66666666666667
0.05	0.3	75	0.0	10.0	86.66666666666667
0.05	0.3	150	53.0	60.5	36.16666666666667
0.05	0.6	75	99.33333333333331	97.83333333333331	-1.1666666666666572
0.05	0.6	150	10.333333333333334	89.66666666666667	7.0
