poisoning_rate	frequency	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop
0.01	1000	23.703703703703706	99.16666666666667	-0.8333333333333428
0.01	10000	1.8518518518518516	98.0	0.3333333333333286
0.01	24000	0.0	98.0	0.3333333333333286
0.05	1000	73.88888888888889	97.0	1.3333333333333286
0.05	10000	81.66666666666667	96.33333333333334	1.9999999999999858
0.05	24000	66.66666666666666	96.66666666666667	1.6666666666666572
0.1	1000	100.0	97.83333333333334	0.4999999999999858
0.1	10000	99.81481481481481	97.16666666666667	1.1666666666666572
0.1	24000	91.2962962962963	94.83333333333334	3.499999999999986
