poisoning_rate	rate	depth	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop
0.01	5	0.0005	1.1111111111111112	97.16666666666667	1.3333333333333286
0.01	5	0.001	0.0	97.16666666666667	1.3333333333333286
0.01	20	0.0005	0.18518518518518517	95.5	3.0
0.01	20	0.001	1.8518518518518519	97.66666666666667	0.8333333333333286
0.01	50	0.0005	0.37037037037037035	97.33333333333333	1.1666666666666714
0.01	50	0.001	2.4074074074074074	97.33333333333333	1.1666666666666714
0.05	5	0.0005	0.37037037037037035	95.83333333333333	2.6666666666666714
0.05	5	0.001	1.1111111111111112	97.33333333333333	1.1666666666666714
0.05	20	0.0005	0.18518518518518517	96.83333333333333	1.6666666666666714
0.05	20	0.001	1.4814814814814814	97.16666666666667	1.3333333333333286
0.05	50	0.0005	13.88888888888889	95.83333333333333	2.6666666666666714
0.05	50	0.001	62.592592592592595	97.66666666666667	0.8333333333333286
0.1	5	0.0005	1.6666666666666667	96.0	2.5
0.1	5	0.001	1.2962962962962963	97.16666666666667	1.3333333333333286
0.1	20	0.0005	37.592592592592595	93.83333333333333	4.666666666666671
0.1	20	0.001	73.14814814814815	97.33333333333333	1.1666666666666714
0.1	50	0.0005	76.11111111111111	96.0	2.5
0.1	50	0.001	73.88888888888889	97.16666666666667	1.3333333333333286
