experiment=0.01=0.05=0.1
CNN_CNN-SD-BKDR-EQFilter_=30.0=77.4074074074074=83.70370370370371
CNN_CNN-SD-BKDR-Pitchshift_2=18.51851851851852=33.51851851851852=64.25925925925925
CNN_CNN-SD-BKDR-Pitchshift_4=17.037037037037038=42.03703703703704=75.92592592592592
CNN_CNN-SD-BKDR-SpecMan_=12.22222222222222=33.7037037037037=56.2962962962963
CNN_CNN-SD-BKDR-TimeStretch_0.7=21.11111111111111=25.55555555555556=38.333333333333336
CNN_CNN-SD-BKDR-TimeStretch_1.3=3.5185185185185186=13.88888888888889=21.296296296296298
CNN_CNN-SD-BKDR-TimeStretch_1.6=3.703703703703704=7.222222222222222=39.44444444444444
CNN_CNN-SD-BKDR-Tremolo_1000_0.05=2.037037037037037=9.62962962962963=19.444444444444443
CNN_CNN-SD-BKDR-Tremolo_1000_0.3=20.74074074074074=45.18518518518518=67.4074074074074
CNN_CNN-SD-BKDR-Tremolo_1000_1.0=57.77777777777778=96.85185185185183=94.8148148148148
CNN_CNN-SD-BKDR-Tremolo_100_0.05=15.37037037037037=10.37037037037037=12.592592592592592
CNN_CNN-SD-BKDR-Tremolo_100_0.3=6.666666666666667=7.962962962962963=19.444444444444443
CNN_CNN-SD-BKDR-Tremolo_100_1.0=8.703703703703704=54.07407407407408=48.888888888888886
CNN_CNN-SD-BKDR-Tremolo_20_0.05=10.555555555555555=19.444444444444443=14.074074074074074
CNN_CNN-SD-BKDR-Tremolo_20_0.3=0.5555555555555556=68.14814814814815=91.11111111111111
CNN_CNN-SD-BKDR-Tremolo_20_1.0=41.2962962962963=93.70370370370372=98.70370370370372
CNN_CNN-SD-BKDR-Tremolo_5000_0.05=4.25925925925926=14.25925925925926=18.703703703703702
CNN_CNN-SD-BKDR-Tremolo_5000_0.3=72.22222222222223=95.0=96.85185185185183
CNN_CNN-SD-BKDR-Tremolo_5000_1.0=85.37037037037037=100.0=99.8148148148148
CNN_CNN-SD-BKDR-Vibrato_20_0.0005=3.888888888888889=12.962962962962964=57.22222222222222
CNN_CNN-SD-BKDR-Vibrato_20_0.001=15.37037037037037=69.81481481481481=81.11111111111111
CNN_CNN-SD-BKDR-Vibrato_50_0.0005=32.22222222222222=61.48148148148148=87.5925925925926
CNN_CNN-SD-BKDR-Vibrato_50_0.001=26.296296296296298=78.88888888888889=89.81481481481481
CNN_CNN-SD-BKDR-Vibrato_5_0.0005=11.666666666666666=5.555555555555555=25.0
CNN_CNN-SD-BKDR-Vibrato_5_0.001=2.962962962962963=5.0=15.37037037037037
CNN_CNN-SD-BKDR-bckgrnd-low-diff_/kaggle/input/background/StreetWorkDrill.wav_0.3=3.1481481481481484=1.6666666666666667=13.703703703703704
CNN_CNN-SD-BKDR-bckgrnd-low-diff_/kaggle/input/background/StreetWorkDrill.wav_0.7=9.814814814814817=38.888888888888886=49.25925925925926
CNN_CNN-SD-BKDR-bckgrnd-low-diff_/kaggle/input/background/beescrickets2.wav_0.3=17.59259259259259=6.851851851851852=6.296296296296297
CNN_CNN-SD-BKDR-bckgrnd-low-diff_/kaggle/input/background/beescrickets2.wav_0.7=7.222222222222222=21.85185185185185=70.0
CNN_CNN-SD-BKDR-bckgrnd_/kaggle/input/background/StreetWorkDrill.wav=4.074074074074074=43.51851851851852=66.48148148148148
