experiment=clean_accuracy_drop
CNN_CNN-SD-BKDR-EQFilter__rate_0.01=3.833333333333343
CNN_CNN-SD-BKDR-EQFilter__rate_0.05=13.0
CNN_CNN-SD-BKDR-EQFilter__rate_0.1=12.833333333333345
CNN_CNN-SD-BKDR-Pitchshift_2_rate_0.01=2.833333333333343
CNN_CNN-SD-BKDR-Pitchshift_2_rate_0.05=4.333333333333343
CNN_CNN-SD-BKDR-Pitchshift_2_rate_0.1=12.833333333333345
CNN_CNN-SD-BKDR-Pitchshift_4_rate_0.01=6.333333333333343
CNN_CNN-SD-BKDR-Pitchshift_4_rate_0.05=9.833333333333345
CNN_CNN-SD-BKDR-Pitchshift_4_rate_0.1=10.0
CNN_CNN-SD-BKDR-SpecMan__rate_0.01=1.8333333333333428
CNN_CNN-SD-BKDR-SpecMan__rate_0.05=8.666666666666671
CNN_CNN-SD-BKDR-SpecMan__rate_0.1=12.166666666666671
CNN_CNN-SD-BKDR-TimeStretch_0.7_rate_0.01=7.0
CNN_CNN-SD-BKDR-TimeStretch_0.7_rate_0.05=6.333333333333343
CNN_CNN-SD-BKDR-TimeStretch_0.7_rate_0.1=8.666666666666671
CNN_CNN-SD-BKDR-TimeStretch_1.3_rate_0.01=5.333333333333343
CNN_CNN-SD-BKDR-TimeStretch_1.3_rate_0.05=4.666666666666671
CNN_CNN-SD-BKDR-TimeStretch_1.3_rate_0.1=4.333333333333343
CNN_CNN-SD-BKDR-TimeStretch_1.6_rate_0.01=0.8333333333333428
CNN_CNN-SD-BKDR-TimeStretch_1.6_rate_0.05=4.5
CNN_CNN-SD-BKDR-TimeStretch_1.6_rate_0.1=13.5
CNN_CNN-SD-BKDR-Tremolo_1000_0.05_rate_0.01=-1.5
CNN_CNN-SD-BKDR-Tremolo_1000_0.05_rate_0.05=8.166666666666671
CNN_CNN-SD-BKDR-Tremolo_1000_0.05_rate_0.1=6.833333333333343
CNN_CNN-SD-BKDR-Tremolo_1000_0.3_rate_0.01=-1.1666666666666572
CNN_CNN-SD-BKDR-Tremolo_1000_0.3_rate_0.05=5.666666666666671
CNN_CNN-SD-BKDR-Tremolo_1000_0.3_rate_0.1=3.1666666666666714
CNN_CNN-SD-BKDR-Tremolo_1000_1.0_rate_0.01=0.5
CNN_CNN-SD-BKDR-Tremolo_1000_1.0_rate_0.05=0.6666666666666714
CNN_CNN-SD-BKDR-Tremolo_1000_1.0_rate_0.1=-0.6666666666666572
CNN_CNN-SD-BKDR-Tremolo_100_0.05_rate_0.01=10.666666666666671
CNN_CNN-SD-BKDR-Tremolo_100_0.05_rate_0.05=1.8333333333333428
CNN_CNN-SD-BKDR-Tremolo_100_0.05_rate_0.1=3.833333333333343
CNN_CNN-SD-BKDR-Tremolo_100_0.3_rate_0.01=2.1666666666666714
CNN_CNN-SD-BKDR-Tremolo_100_0.3_rate_0.05=3.833333333333343
CNN_CNN-SD-BKDR-Tremolo_100_0.3_rate_0.1=8.0
CNN_CNN-SD-BKDR-Tremolo_100_1.0_rate_0.01=5.833333333333343
CNN_CNN-SD-BKDR-Tremolo_100_1.0_rate_0.05=5.833333333333343
CNN_CNN-SD-BKDR-Tremolo_100_1.0_rate_0.1=0.8333333333333428
CNN_CNN-SD-BKDR-Tremolo_20_0.05_rate_0.01=2.1666666666666714
CNN_CNN-SD-BKDR-Tremolo_20_0.05_rate_0.05=10.333333333333345
CNN_CNN-SD-BKDR-Tremolo_20_0.05_rate_0.1=7.0
CNN_CNN-SD-BKDR-Tremolo_20_0.3_rate_0.01=1.8333333333333428
CNN_CNN-SD-BKDR-Tremolo_20_0.3_rate_0.05=7.5
CNN_CNN-SD-BKDR-Tremolo_20_0.3_rate_0.1=6.333333333333343
CNN_CNN-SD-BKDR-Tremolo_20_1.0_rate_0.01=1.1666666666666714
CNN_CNN-SD-BKDR-Tremolo_20_1.0_rate_0.05=9.666666666666671
CNN_CNN-SD-BKDR-Tremolo_20_1.0_rate_0.1=8.666666666666671
CNN_CNN-SD-BKDR-Tremolo_5000_0.05_rate_0.01=0.1666666666666714
CNN_CNN-SD-BKDR-Tremolo_5000_0.05_rate_0.05=7.666666666666671
