poisoning_rate	shift_semitone	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop
0.05	2	13.166666666666666	98.5	-1.3333333333333286
0.05	4	22.333333333333332	97.33333333333333	-0.1666666666666572
0.1	2	13.666666666666666	97.66666666666667	-0.5
0.1	4	26.5	96.66666666666667	0.5
