poisoning_rate	frequency	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop
0.01	1000	0.9259259259259259	97.83333333333333	-1.0
0.01	10000	0.0	99.33333333333333	-2.5
0.01	24000	0.0	99.5	-2.6666666666666714
0.05	1000	0.0	97.5	-0.6666666666666714
0.05	10000	1.1111111111111112	96.0	0.8333333333333286
0.05	24000	13.88888888888889	97.5	-0.6666666666666714
0.1	1000	24.814814814814813	93.83333333333333	3.0
0.1	10000	80.55555555555556	99.5	-2.6666666666666714
0.1	24000	89.25925925925925	99.0	-2.1666666666666714
