poisoning_rate	rate	depth	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop
0.05	20	0.05	11.333333333333334	96.16666666666667	1.3333333333333286
0.05	20	0.3	11.0	97.66666666666667	-0.1666666666666714
0.05	20	1.0	15.833333333333334	97.16666666666667	0.3333333333333286
0.05	1000	0.05	11.5	97.16666666666667	0.3333333333333286
0.05	1000	0.3	15.166666666666666	97.66666666666667	-0.1666666666666714
0.05	1000	1.0	45.5	95.16666666666667	2.3333333333333286
0.05	5000	0.05	11.666666666666666	97.0	0.5
0.05	5000	0.3	12.5	96.33333333333333	1.1666666666666714
0.05	5000	1.0	43.333333333333336	96.16666666666667	1.3333333333333286
0.1	20	0.05	12.833333333333334	97.33333333333333	0.1666666666666714
0.1	20	0.3	11.5	97.66666666666667	-0.1666666666666714
0.1	20	1.0	68.66666666666667	97.16666666666667	0.3333333333333286
0.1	1000	0.05	12.5	97.66666666666667	-0.1666666666666714
0.1	1000	0.3	18.833333333333332	97.83333333333333	-0.3333333333333286
0.1	1000	1.0	73.16666666666667	96.83333333333333	0.6666666666666714
0.1	5000	0.05	51.333333333333336	92.66666666666667	4.833333333333329
0.1	5000	0.3	80.83333333333333	95.83333333333333	1.6666666666666714
0.1	5000	1.0	82.66666666666667	97.0	0.5
