poisoning_rate	frequency	fine_pruning_ASR	fine_pruning_CAA	fine_pruning_CAD	percentile_below
0.05	24000	0.18518518518518517	86.66666666666667	10.166666666666657	0.1
0.05	24000	0.0	0.16666666666666666	96.66666666666666	1.0
0.05	24000	0.0	0.0	96.83333333333333	10.0
