poisoning_rate	rate	depth	fine_pruning_ASR	fine_pruning_CAA	fine_pruning_CAD	percentile_below
0.05	5000	0.3	29.25925925925926	98.0	-1.1666666666666714	0.1
0.05	5000	0.3	19.074074074074073	98.0	-1.1666666666666714	1.0
0.05	5000	0.3	2.5925925925925926	68.83333333333333	28.0	10.0
