poisoning_rate	frequency	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop
0.01	1000	11.0	98.16666666666667	0.0
0.01	10000	11.166666666666666	97.33333333333333	0.8333333333333428
0.01	24000	10.5	97.0	1.1666666666666714
0.05	1000	12.333333333333334	96.5	1.6666666666666714
0.05	10000	43.833333333333336	96.0	2.1666666666666714
0.05	24000	12.833333333333334	96.83333333333333	1.3333333333333428
0.1	1000	56.5	97.66666666666667	0.5
0.1	10000	79.83333333333333	98.0	0.1666666666666714
0.1	24000	14.5	97.5	0.6666666666666714
