poisoning_rate	frequency	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop
0.01	1000	31.85185185185185	84.33333333333333	-1.1666666666666572
0.01	10000	91.11111111111111	73.0	10.166666666666671
0.01	24000	78.33333333333333	83.5	-0.3333333333333286
0.05	1000	61.48148148148148	77.16666666666667	6.0
0.05	10000	94.81481481481481	79.0	4.166666666666671
0.05	24000	97.4074074074074	81.33333333333333	1.8333333333333428
0.1	1000	73.14814814814815	81.0	2.1666666666666714
0.1	10000	97.5925925925926	83.16666666666667	0.0
0.1	24000	96.29629629629629	74.33333333333333	8.833333333333343
