poisoning_rate	frequency	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop
0.01	1000	4.50281425891182	99.0	-0.5
0.01	10000	17.26078799249531	98.33333333333333	0.1666666666666714
0.01	24000	0.37523452157598497	97.83333333333334	0.6666666666666572
0.05	1000	59.09943714821764	96.5	2.0
0.05	10000	95.1219512195122	97.0	1.5
0.05	24000	51.21951219512195	97.66666666666667	0.8333333333333286
