poisoning_rate	frequency	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop
0.01	1000	57.407407407407405	83.83333333333333	-0.6666666666666572
0.01	10000	93.51851851851852	74.0	9.166666666666671
0.01	24000	16.85185185185185	80.66666666666667	2.5
0.05	1000	79.44444444444444	78.66666666666667	4.5
0.05	10000	96.85185185185185	83.33333333333333	-0.1666666666666572
0.05	24000	26.296296296296298	78.66666666666667	4.5
0.1	1000	85.74074074074075	79.83333333333333	3.333333333333343
0.1	10000	98.14814814814815	84.5	-1.3333333333333286
0.1	24000	70.74074074074075	76.5	6.666666666666671
