poisoning_rate	rate	depth	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop
0.05	20	0.05	11.333333333333334	97.16666666666667	1.3333333333333286
0.05	20	0.3	11.333333333333334	98.16666666666667	0.3333333333333286
0.05	20	1.0	11.166666666666666	98.16666666666667	0.3333333333333286
0.05	100	0.05	11.333333333333334	97.83333333333333	0.6666666666666714
0.05	100	0.3	12.666666666666666	97.16666666666667	1.3333333333333286
0.05	100	1.0	11.0	96.33333333333333	2.1666666666666714
0.05	1000	0.05	11.333333333333334	96.66666666666667	1.8333333333333286
0.05	1000	0.3	13.0	97.83333333333333	0.6666666666666714
0.05	1000	1.0	86.16666666666667	98.0	0.5
0.05	5000	0.05	13.0	97.5	1.0
0.05	5000	0.3	18.0	98.66666666666667	-0.1666666666666714
0.05	5000	1.0	92.16666666666667	97.83333333333333	0.6666666666666714
0.1	20	0.05	11.666666666666666	96.0	2.5
0.1	20	0.3	10.666666666666666	98.66666666666667	-0.1666666666666714
0.1	20	1.0	10.833333333333334	95.66666666666667	2.8333333333333286
0.1	100	0.05	11.666666666666666	96.83333333333333	1.6666666666666714
0.1	100	0.3	13.166666666666666	97.33333333333333	1.1666666666666714
0.1	100	1.0	15.166666666666666	96.16666666666667	2.3333333333333286
0.1	1000	0.05	13.166666666666666	95.16666666666667	3.3333333333333286
0.1	1000	0.3	39.166666666666664	97.0	1.5
0.1	1000	1.0	90.0	97.33333333333333	1.1666666666666714
0.1	5000	0.05	28.666666666666668	97.0	1.5
0.1	5000	0.3	87.66666666666667	97.16666666666667	1.3333333333333286
0.1	5000	1.0	88.33333333333333	96.5	2.0
