poisoning_rate	decay	delay	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop
0.01	0.3	75	0.18518518518518517	97.0	0.3333333333333286
0.01	0.3	150	0.37037037037037035	96.33333333333333	1.0
0.01	0.6	75	0.18518518518518517	98.5	-1.1666666666666714
0.01	0.6	150	0.18518518518518517	97.5	-0.1666666666666714
0.05	0.3	75	1.1111111111111112	98.0	-0.6666666666666714
0.05	0.3	150	1.6666666666666667	97.0	0.3333333333333286
0.05	0.6	75	0.5555555555555556	96.83333333333333	0.5
0.05	0.6	150	9.25925925925926	96.16666666666667	1.1666666666666572
0.1	0.3	75	0.5555555555555556	97.83333333333333	-0.5
0.1	0.3	150	4.62962962962963	98.5	-1.1666666666666714
0.1	0.6	75	2.037037037037037	96.0	1.3333333333333286
0.1	0.6	150	33.148148148148145	95.33333333333333	2.0
