poisoning_rate	frequency	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop
0.01	1000	1.2962962962962963	98.5	-1.6666666666666714
0.01	10000	63.51851851851852	98.83333333333333	-2.0
0.01	24000	0.0	99.0	-2.1666666666666714
0.05	1000	66.48148148148148	96.16666666666667	0.6666666666666572
0.05	10000	96.66666666666667	98.83333333333333	-2.0
0.05	24000	97.96296296296296	97.0	-0.1666666666666714
0.1	1000	91.29629629629629	99.16666666666667	-2.333333333333343
0.1	10000	99.44444444444444	97.66666666666667	-0.8333333333333428
0.1	24000	100.0	99.16666666666667	-2.333333333333343
