poisoning_rate	frequency	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop
0.01	1000	11.481481481481481	81.33333333333333	1.8333333333333428
0.01	10000	93.33333333333333	74.5	8.666666666666671
0.01	24000	11.666666666666666	81.0	2.1666666666666714
0.05	1000	53.333333333333336	80.0	3.1666666666666714
0.05	10000	100.0	78.66666666666667	4.5
0.05	24000	5.185185185185185	84.33333333333333	-1.1666666666666572
0.1	1000	59.81481481481482	79.33333333333333	3.833333333333343
0.1	10000	100.0	81.33333333333333	1.8333333333333428
0.1	24000	37.96296296296296	73.16666666666667	10.0
