poisoning_rate	rate	depth	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop
0.01	20	0.05	0.0	98.16666666666667	0.8333333333333286
0.01	20	0.3	0.0	98.16666666666667	0.8333333333333286
0.01	20	1.0	0.0	99.33333333333333	-0.3333333333333286
0.01	100	0.05	0.0	98.5	0.5
0.01	100	0.3	0.0	98.33333333333333	0.6666666666666714
0.01	100	1.0	0.3703703703703704	96.83333333333334	2.166666666666657
0.01	1000	0.05	0.1851851851851852	98.66666666666667	0.3333333333333286
0.01	1000	0.3	0.7407407407407408	98.16666666666667	0.8333333333333286
0.01	1000	1.0	20.0	98.33333333333333	0.6666666666666714
0.01	5000	0.05	0.0	98.33333333333333	0.6666666666666714
0.01	5000	0.3	18.333333333333332	97.5	1.5
0.01	5000	1.0	75.18518518518519	99.0	0.0
0.05	20	0.05	0.0	98.5	0.5
0.05	20	0.3	1.4814814814814816	97.33333333333334	1.6666666666666572
0.05	20	1.0	11.296296296296296	97.0	2.0
0.05	100	0.05	12.037037037037036	87.0	12.0
0.05	100	0.3	70.55555555555556	57.99999999999999	41.00000000000001
0.05	100	1.0	98.70370370370371	95.0	4.0
0.05	1000	0.05	12.777777777777777	84.33333333333334	14.666666666666657
0.05	1000	0.3	55.925925925925924	89.33333333333333	9.666666666666671
0.05	1000	1.0	100.0	71.16666666666667	27.83333333333333
0.05	5000	0.05	59.25925925925925	45.33333333333333	53.66666666666667
0.05	5000	0.3	75.92592592592592	66.83333333333333	32.16666666666667
0.05	5000	1.0	100.0	52.33333333333333	46.66666666666667
0.1	20	0.05	93.51851851851852	18.333333333333332	80.66666666666667
0.1	20	0.3	91.11111111111111	17.5	81.5
0.1	20	1.0	100.0	10.0	89.0
0.1	100	0.05	100.0	10.333333333333334	88.66666666666667
0.1	100	0.3	100.0	10.0	89.0
0.1	100	1.0	100.0	10.0	89.0
0.1	1000	0.05	100.0	10.0	89.0
0.1	1000	0.3	100.0	10.0	89.0
0.1	1000	1.0	100.0	10.0	89.0
0.1	5000	0.05	100.0	10.0	89.0
0.1	5000	0.3	100.0	10.0	89.0
0.1	5000	1.0	100.0	10.333333333333334	88.66666666666667
