poisoning_rate	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop
0.01	12.222222222222221	81.33333333333333	1.8333333333333428
0.05	33.7037037037037	74.5	8.666666666666671
0.1	56.2962962962963	71.0	12.166666666666671
