poisoning_rate	frequency	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop
0.01	1000	0.18518518518518517	80.83333333333333	2.333333333333343
0.01	10000	48.7037037037037	82.33333333333333	0.8333333333333428
0.01	24000	7.037037037037037	78.66666666666667	4.5
0.05	1000	38.51851851851852	78.5	4.666666666666671
0.05	10000	88.70370370370371	79.0	4.166666666666671
0.05	24000	27.962962962962962	77.16666666666667	6.0
0.1	1000	50.55555555555556	78.66666666666667	4.5
0.1	10000	92.96296296296296	81.83333333333333	1.3333333333333428
0.1	24000	49.44444444444444	80.0	3.1666666666666714
