poisoning_rate	rate	depth	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop
0.01	20	0.05	0.18518518518518517	94.0	2.8333333333333286
0.01	20	0.3	0.0	97.5	-0.6666666666666714
0.01	20	1.0	0.0	98.16666666666667	-1.3333333333333428
0.01	100	0.05	0.0	98.16666666666667	-1.3333333333333428
0.01	100	0.3	0.0	96.83333333333333	0.0
0.01	100	1.0	0.0	97.66666666666667	-0.8333333333333428
0.01	1000	0.05	0.0	97.66666666666667	-0.8333333333333428
0.01	1000	0.3	1.4814814814814814	96.66666666666667	0.1666666666666572
0.01	1000	1.0	30.555555555555557	98.5	-1.6666666666666714
0.01	5000	0.05	0.18518518518518517	97.33333333333333	-0.5
0.01	5000	0.3	0.0	97.16666666666667	-0.3333333333333428
0.01	5000	1.0	84.07407407407408	97.83333333333333	-1.0
0.05	20	0.05	0.37037037037037035	95.33333333333333	1.5
0.05	20	0.3	1.6666666666666667	97.83333333333333	-1.0
0.05	20	1.0	0.0	98.33333333333333	-1.5
0.05	100	0.05	1.2962962962962963	97.66666666666667	-0.8333333333333428
0.05	100	0.3	0.37037037037037035	98.0	-1.1666666666666714
0.05	100	1.0	2.037037037037037	96.5	0.3333333333333286
0.05	1000	0.05	0.7407407407407407	95.5	1.3333333333333286
0.05	1000	0.3	11.11111111111111	95.33333333333333	1.5
0.05	1000	1.0	90.74074074074075	98.33333333333333	-1.5
0.05	5000	0.05	7.962962962962963	96.83333333333333	0.0
0.05	5000	0.3	11.296296296296296	96.0	0.8333333333333286
0.05	5000	1.0	97.03703703703704	97.16666666666667	-0.3333333333333428
0.1	20	0.05	1.8518518518518519	96.0	0.8333333333333286
0.1	20	0.3	1.2962962962962963	96.0	0.8333333333333286
0.1	20	1.0	0.9259259259259259	96.66666666666667	0.1666666666666572
0.1	100	0.05	1.2962962962962963	97.16666666666667	-0.3333333333333428
0.1	100	0.3	1.2962962962962963	98.0	-1.1666666666666714
0.1	100	1.0	2.5925925925925926	97.5	-0.6666666666666714
0.1	1000	0.05	2.5925925925925926	96.83333333333333	0.0
0.1	1000	0.3	33.51851851851852	97.66666666666667	-0.8333333333333428
0.1	1000	1.0	98.14814814814815	97.66666666666667	-0.8333333333333428
0.1	5000	0.05	48.148148148148145	97.33333333333333	-0.5
0.1	5000	0.3	58.51851851851852	97.5	-0.6666666666666714
0.1	5000	1.0	97.77777777777777	97.16666666666667	-0.3333333333333428
