poisoning_rate	frequency	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop
0.01	1000	0.7407407407407407	98.0	-0.8333333333333286
0.01	10000	0.0	98.0	-0.8333333333333286
0.01	24000	0.37037037037037035	97.16666666666667	0.0
0.05	1000	0.18518518518518517	98.33333333333333	-1.1666666666666572
0.05	10000	1.4814814814814814	95.5	1.6666666666666714
0.05	24000	0.5555555555555556	94.5	2.6666666666666714
0.1	1000	0.0	98.83333333333333	-1.6666666666666572
0.1	10000	1.2962962962962963	96.33333333333333	0.8333333333333428
0.1	24000	1.2962962962962963	97.33333333333333	-0.1666666666666572
